Output_Type,Criterion_ID,Criterion_Name,Criterion_Definition,Check_Type,Pass_Threshold,Border_Threshold,Fail_Threshold,Judge_Model,Anchor_Example_5,Anchor_Example_3,Anchor_Example_1,Weight,Notes
headline,H1,length,Headline 65 characters or fewer,deterministic_count,length<=65,length>65 and length<=72,length>72,n/a,Vahla Range built for the long days,A new range for trail runners doing ultras now,Discover our brand new range of products including Vahla,1,Hard gate on length
headline,H2,no_buzzwords,No buzzwords (solutions unlock seamless leverage),deterministic_regex,zero_hits,one_hit,two_plus_hits,n/a,Built for the long days,Solutions for endurance runners,Unlock seamless solutions for synergistic performance,1,
headline,H3,active_voice,First clause uses active voice not passive,llm_judgement,score>=4,score==3,score<=2,claude-4.5-sonnet,We built this for the long days,This was built for the long days,The long days have been built for by us,1,
headline,H4,specificity,Names a specific person product event or place,llm_judgement,score>=4,score==3,score<=2,claude-4.5-sonnet,Beth Lyons on UTMB,A runner on a long race,People who do races,2,High weight criterion
body_copy,B1,paragraph_length,No paragraph above 75 words,deterministic_count,max_para_words<=75,max_para_words<=90,max_para_words>90,n/a,Vahla shells run cold across long days the team tested them over 200km in the Cairngorms,A short paragraph describing the shell quickly,A 100 plus word paragraph that meanders through five distinct ideas without breaking,1,
body_copy,B2,claim_source,Performance claims have a source or hedge,llm_judgement,score>=4,score==3,score<=2,claude-4.5-sonnet,Our team tested the shell over 200km,The shell tested well in our trials,The shell is 30 percent lighter than the competitor,3,Block-severity claim check
body_copy,B3,voice_match,Matches brand voice profile,llm_judgement,score>=4,score==3,score<=2,claude-4.5-sonnet,Built for the long days editorial tone,A solid technical shell for harsh weather conditions,Discover our amazing new shell its absolutely incredible,2,
body_copy,B4,oxford_comma,Oxford comma used in lists of three plus,deterministic_regex,no_violations,one_violation,two_plus_violations,n/a,wind rain and snow,wind rain and snow without comma,no list to check,1,
email_subject,E1,length,Subject 50 characters or fewer,deterministic_count,length<=50,length<=60,length>60,n/a,Beth Lyons on UTMB the shell that ran,A new shell for trail runners launching this autumn,Discover the brand new Vahla Range Storm Shell available now,1,
email_subject,E2,no_emojis,Subject contains no emojis,deterministic_regex,zero_emojis,n/a,one_plus_emoji,n/a,Beth on UTMB,Beth on UTMB,Beth on UTMB with emoji,1,Hard rule no emojis
email_subject,E3,specificity,Names a specific person product or event,llm_judgement,score>=4,score==3,score<=2,claude-4.5-sonnet,Beth Lyons on UTMB,A new product launches this autumn,Big news inside,2,
ad_copy_meta,M1,first_three_words,First three words of primary text grab,llm_judgement,score>=4,score==3,score<=2,claude-4.5-sonnet,200km in Cairngorms,A new shell from Cascadia,Hey check this out,2,
ad_copy_meta,M2,length,Primary text 125 characters or fewer,deterministic_count,length<=125,length<=140,length>140,n/a,200km in Cairngorms. The shell that ran. Vahla Storm available now.,A solid technical shell for harsh weather conditions launching this autumn.,An extended description of the shell its features and the brand story that goes on,1,
ad_copy_meta,M3,no_claim_overclaim,Race performance claims verifiable,llm_judgement,score>=4,score==3,score<=2,claude-4.5-sonnet,Beth finished 14th at UTMB in the shell,Beth raced UTMB in the shell,The shell wins races,3,
