Channel,Week,Conversions_GA4_DDA,Conversions_GA4_LC,Conversions_Platform,Conversions_Incrementality,Spend,Notes
Paid social - Meta,W01,,,,,,Meta 7d-click + 1d-view
Paid social - Meta,W02,,,,,,
Paid social - Meta,W03,,,,,,
Paid social - Meta,W04,,,,,,
Paid social - Meta,W05,,,,,,
Paid social - Meta,W06,,,,,,
Paid social - Meta,W07,,,,,,
Paid social - Meta,W08,,,,,,
Paid social - Meta,W09,,,,,,
Paid social - Meta,W10,,,,,,
Paid social - Meta,W11,,,,,,
Paid social - Meta,W12,,,,,,
Paid search - Google,W01,,,,,,Google Ads DDA
Paid search - Google,W02,,,,,,
Paid search - Google,W03,,,,,,
Paid search - Google,W04,,,,,,
Paid search - Google,W05,,,,,,
Paid search - Google,W06,,,,,,
Paid search - Google,W07,,,,,,
Paid search - Google,W08,,,,,,
Paid search - Google,W09,,,,,,
Paid search - Google,W10,,,,,,
Paid search - Google,W11,,,,,,
Paid search - Google,W12,,,,,,
Display - retargeting,W01,,,,,,
Display - retargeting,W02,,,,,,
Display - retargeting,W03,,,,,,
Display - retargeting,W04,,,,,,
Display - retargeting,W05,,,,,,
Display - retargeting,W06,,,,,,
Display - retargeting,W07,,,,,,
Display - retargeting,W08,,,,,,
Display - retargeting,W09,,,,,,
Display - retargeting,W10,,,,,,
Display - retargeting,W11,,,,,,
Display - retargeting,W12,,,,,,
SEO,W01,,,n/a,n/a,n/a,Organic search
SEO,W02,,,n/a,n/a,n/a,
SEO,W03,,,n/a,n/a,n/a,
SEO,W04,,,n/a,n/a,n/a,
SEO,W05,,,n/a,n/a,n/a,
SEO,W06,,,n/a,n/a,n/a,
SEO,W07,,,n/a,n/a,n/a,
SEO,W08,,,n/a,n/a,n/a,
SEO,W09,,,n/a,n/a,n/a,
SEO,W10,,,n/a,n/a,n/a,
SEO,W11,,,n/a,n/a,n/a,
SEO,W12,,,n/a,n/a,n/a,
Email,W01,,,n/a,n/a,n/a,UTM-tagged sends
Email,W02,,,n/a,n/a,n/a,
Email,W03,,,n/a,n/a,n/a,
Email,W04,,,n/a,n/a,n/a,
Email,W05,,,n/a,n/a,n/a,
Email,W06,,,n/a,n/a,n/a,
Email,W07,,,n/a,n/a,n/a,
Email,W08,,,n/a,n/a,n/a,
Email,W09,,,n/a,n/a,n/a,
Email,W10,,,n/a,n/a,n/a,
Email,W11,,,n/a,n/a,n/a,
Email,W12,,,n/a,n/a,n/a,
Direct,W01,,,n/a,n/a,n/a,Includes brand-search bleed
Direct,W02,,,n/a,n/a,n/a,
Direct,W03,,,n/a,n/a,n/a,
Direct,W04,,,n/a,n/a,n/a,
Direct,W05,,,n/a,n/a,n/a,
Direct,W06,,,n/a,n/a,n/a,
Direct,W07,,,n/a,n/a,n/a,
Direct,W08,,,n/a,n/a,n/a,
Direct,W09,,,n/a,n/a,n/a,
Direct,W10,,,n/a,n/a,n/a,
Direct,W11,,,n/a,n/a,n/a,
Direct,W12,,,n/a,n/a,n/a,
