Event_name,Date,Discipline,Tier,Audience_segments,Hook_angle,Pre_event_start,Event_day,Post_event_end,Asset_inventory_count,Shoot_required,AI_augmentation_scope,Paid_spend_GBP,Brief_owner,Status
Lavaredo Ultra Trail,2026-06-25,Trail ultra,1,Mid-pack ultra runners; aspiring ultra runners,The long second night above the treeline,2026-05-14,2026-06-25,2026-07-10,18,yes,Environmental b-roll + social cuts,28000,Marketing lead,Brief locked
UTMB,2026-08-28,Trail ultra,1,UTMB-entrants; UTMB-followers,The decision at Courmayeur,2026-07-17,2026-08-28,2026-09-12,22,yes,Athlete shoot + AI environmental variants,45000,Marketing lead,Shoot scheduled
Lakes Sky Ultra,2026-07-19,Trail ultra,2,UK trail community,Ridges in summer light,2026-06-21,2026-07-19,2026-07-29,9,no,AI-augmented archive,8000,Content lead,Inventory drafted
London Marathon,2026-04-19,Road,3,Non-trail audience moment,Brand acknowledgement only,2026-04-12,2026-04-19,2026-04-23,3,no,Editorial only,1500,Social lead,Touchpoint planned
Snowdonia Trail Marathon,2026-07-04,Trail,2,UK regional trail community,Welsh weather, real summer,2026-06-06,2026-07-04,2026-07-14,11,no,Race-result content engine,6500,Content lead,Brief drafted
Base training season start,2026-11-01,Audience moment,3,All segments off-season,The first month of work,2026-10-15,2026-11-01,2026-11-30,4,no,Editorial + lifecycle,2000,Lifecycle lead,Touchpoint planned
Taper window pre-Spring marathons,2026-03-14,Audience moment,3,Spring-marathon entrants,The last hard week,2026-03-07,2026-03-14,2026-03-21,3,no,Lifecycle only,500,Lifecycle lead,Touchpoint planned
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
