Week,Publish_date,Pillar,Topic,Format,Length_words,Audience_tier,Practical_application,POV_anchor,Citations_required,Reviewer,Distribution_channels,Status,Notes
W01,2026-01-06,Foundations,The case for the eighty-twenty week,long-form,2200,all,1 prescription per tier,polarised base is the spine,Seiler 2010 plus Stoeggl 2014,Marcus Hale,blog email linkedin carousel,brief,kicks off the year
W02,2026-01-13,Foundations,How easy easy actually feels,long-form,1800,beginner mid-pack,heart-rate cap per tier,perceived effort over watts,Foster 2001 RPE,Marcus Hale,blog email twitter thread,brief,
W03,2026-01-20,Mental,Why January motivation is the wrong fuel,mid-form,1400,all,1 weekly habit shift,intrinsic over extrinsic,Deci Ryan SDT,Marcus Hale,blog email instagram carousel,brief,
W04,2026-01-27,Building blocks,Threshold intervals without a lactate test,long-form,2000,mid-pack racer,3 session templates,field test over lab,MacInnis Gibala 2017,Marcus Hale,blog email linkedin,brief,
W05,2026-02-03,Recovery,Sleep is the cheapest performance gain,mid-form,1600,all,1 sleep-window prescription,sleep before supplements,Walker 2017,Marcus Hale,blog email podcast,brief,
W06,2026-02-10,Foundations,Long ride two ways trail and road,long-form,2200,mid-pack racer,workout structure per surface,context shapes pace,Lydiard Gilmour 1962,Marcus Hale,blog email instagram,brief,
W07,2026-02-17,Practical,Reading Garmin data without obsessing,mid-form,1500,all,3 data points per week,signal over noise,Halson 2014,Marcus Hale,blog email twitter thread,brief,
W08,2026-02-24,Mental,Suffering as skill not virtue,long-form,1900,mid-pack racer ultra,2 race-day cues,sufferance is trainable,Brick 2002 cognitive control,Marcus Hale,blog email linkedin,brief,
W09,2026-03-03,Building blocks,Hill repeats the Beth Lyons way,long-form,2000,mid-pack racer ultra,session template plus video,strength via gradient,Vernillo 2017,Marcus Hale + Beth Lyons,blog email video,brief,
W10,2026-03-10,Recovery,The easy day that fails fast,mid-form,1400,beginner mid-pack,heart-rate cap plus run-walk option,easy means easy,Seiler 2010,Marcus Hale,blog email instagram,brief,
W11,2026-03-17,Seasonal,The spring breakthrough block,long-form,2300,mid-pack racer,4-week structure,density over intensity,Issurin 2008 block periodisation,Marcus Hale,blog email linkedin,brief,
W12,2026-03-24,Practical,Choosing trail shoes for the year ahead,long-form,2100,all,decision tree by audience,fit over hype,Cascadia wear panel n=80,Marcus Hale,blog email linkedin video,brief,SEO cluster overlap
W13,2026-03-31,Foundations,The aerobic base check at week 12,mid-form,1500,mid-pack racer ultra,3 markers to track,objective beats vibes,Maffetone 1996 plus Seiler 2010,Marcus Hale,blog email twitter thread,brief,
W14,2026-04-07,Building blocks,Tempo without trashing the week,long-form,1900,mid-pack racer,2 session templates,subthreshold over threshold,Stoeggl 2014,Marcus Hale,blog email,brief,
W15,2026-04-14,Mental,Race-day execution the calm checklist,mid-form,1500,all,1 pre-race checklist,boring beats heroic,Beilock 2010 choking under pressure,Marcus Hale,blog email instagram,brief,
W16,2026-04-21,Seasonal,Taper math for a 50k,long-form,2000,mid-pack racer ultra,3-week taper template,volume cut intensity hold,Mujika Padilla 2003 taper,Marcus Hale,blog email linkedin,brief,
W17,2026-04-28,Recovery,Fuel on the trail what actually sits,mid-form,1700,all,carb-per-hour prescriptions,boring fuels work,Burke 2011 carb timing,Marcus Hale,blog email instagram video,brief,
W18,2026-05-05,Building blocks,Strength work for runners three lifts,long-form,1800,all,3-lift programme,minimal effective dose,Beattie 2014 strength endurance,Marcus Hale + physio partner,blog email video,brief,
W19,2026-05-12,Foundations,The long ride that actually matters,long-form,2100,mid-pack racer ultra,duration over distance,time over kilometres,Friel 2018 The Cyclists Training Bible,Marcus Hale,blog email,brief,
W20,2026-05-19,Practical,Plateau diagnosis the four questions,long-form,2000,mid-pack racer,4-step diagnosis,questions before changes,Bompa periodisation,Marcus Hale,blog email linkedin,brief,
W21,2026-05-26,Mental,Pacing the first half of an ultra,long-form,2200,ultra,split prescription per terrain,patience over courage,Stevinson 2002 effort regulation,Marcus Hale + Beth Lyons,blog email podcast,brief,
W22,2026-06-02,Seasonal,Peak week without the panic,mid-form,1500,mid-pack racer ultra,1-week template,confidence rituals,Mujika 2017 peaking,Marcus Hale,blog email instagram,brief,
W23,2026-06-09,Recovery,The off-week that earns the next block,mid-form,1500,all,4-day structure,recovery is training,Pyne 2009 training load,Marcus Hale,blog email,brief,
W24,2026-06-16,Building blocks,Vertical metres how to build climbing legs,long-form,2000,mid-pack racer ultra,session templates,gradient is the dose,Vernillo 2017,Marcus Hale + Beth Lyons,blog email instagram,brief,
